index,Bchamp1,Bchamp2,Bchamp3,Bchamp4,Bchamp5,Rchamp1,Rchamp2,Rchamp3,Rchamp4,Rchamp5,Bwins
0,Tryndamere,Graves,AurelionSol,Samira,Nautilus,Irelia,Hecarim,Kaisa,Draven,Karma,False
1,Azir,Yone,RekSai,Jinx,TahmKench,Ziggs,MasterYi,Seraphine,Aphelios,Kaisa,True
2,Aatrox,Ezreal,Ahri,LeeSin,Leona,Kennen,Volibear,Sylas,Xayah,Rakan,False
3,Jayce,Viego,Karma,Jinx,Nautilus,Tryndamere,Kayn,Leblanc,Ezreal,Sett,False
4,Tryndamere,Nidalee,Xayah,Zeri,Alistar,Vayne,RekSai,Syndra,Kaisa,Nautilus,True
5,Fiora,LeeSin,Vex,Jinx,Nautilus,Tryndamere,Viego,Ryze,Yuumi,Aphelios,True
6,Graves,Nunu,Xayah,Kaisa,Rakan,Yasuo,Lillia,Zeri,Irelia,Pyke,False
7,Shen,Diana,Yasuo,Jinx,Poppy,Corki,LeeSin,Sylas,Xayah,TahmKench,True
9,Azir,Kindred,Ryze,Vayne,Rakan,Akshan,Volibear,Kaisa,Samira,Leona,False
10,Gnar,Diana,Tryndamere,Jhin,Yuumi,Camille,RekSai,Sylas,Kaisa,Renata,False
11,Jayce,Hecarim,Ryze,Jhin,Rakan,Akali,Kayn,Sylas,Senna,TahmKench,False
12,Poppy,Olaf,Anivia,Ezreal,Yuumi,Camille,LeeSin,Leblanc,Galio,Vayne,True
13,Zoe,Anivia,Pyke,LeeSin,Gwen,Gnar,Samira,Kindred,Azir,Zac,False
15,Graves,RekSai,Ryze,Ezreal,Renata,Gragas,Zed,Corki,Caitlyn,Karma,True
16,LeeSin,Kennen,Yasuo,Senna,TahmKench,Camille,Poppy,Vex,Aphelios,Renata,False
17,Tryndamere,LeeSin,Vex,Ezreal,Karma,Akali,Graves,Leblanc,TahmKench,Senna,True
18,Akali,Hecarim,Sylas,Xayah,Rakan,Vayne,Nocturne,Ahri,Aphelios,Karma,True
19,Rumble,Graves,Viktor,Zeri,Alistar,Jayce,Karthus,Kaisa,Jinx,TahmKench,True
20,Shen,Karthus,Talon,Jhin,Yuumi,Gwen,LeeSin,Leblanc,Varus,Karma,False
23,Renekton,Nidalee,Pyke,Xayah,Blitzcrank,Ahri,LeeSin,Soraka,Samira,Nautilus,True
24,Tryndamere,Volibear,Sylas,Caitlyn,Lux,Gragas,Kindred,Ahri,Ezreal,Karma,True
